id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
6616,2.84,2063,89.81,https://magiceden.io/item-details/2HK3Wf7FRhHktNFGU5qSAqCMDjfv23qGjXb73nyH9zAo,,Silver Stars Aura,,#ff8599,,03,14,30,Black Boots,grey,19,,Long Gray Skirt,02,human,
6657,3.19,1604,88.15,https://magiceden.io/item-details/J72rtwPSgxXoXMLGxK8khDPNtnUs6Nq4iBvy3HBoEaDh,,Green Sparkles Aura,,#2b6bb5,,02,13,30,Tall Green Boots,black,17,,Khaki Cargo Shorts,02,catfolk,04
6662,4.5,8033,49.22,https://magiceden.io/item-details/7CLK5QZ4ZWcDhyZdpmTtVXxDZXvCePMyfKgoh9Vyd99E,,Balloons B Aura,,#9641ff,,03,07,11,White Boots with Polka Dots,grey,37,,Plain White Cargo Shorts,02,catfolk,03
6881,3.69,NaN,0,https://magiceden.io/item-details/DaxV1b52xBMxTEsDkzpGyzyhkVZo9pGhsiCBnMuqFifH,,,,,,,,,,,,,,,,
6891,2.89,3303,84.33,https://magiceden.io/item-details/484HQYup5Lu4gPtezLDut3JTLrNMTnpdEGU7TsFYpXKm,,AA Gun A Aura,,#ff8599,,03,02,28,Strappy Red Sandals,blonde,33,,Red Cargo Shorts,01,lizard,02
6910,3.5,NaN,0,https://magiceden.io/item-details/H2nJhD1j97QY4hzxroPME655MDtDWDTY4Tw4HZP3psw,,,,,,,,,,,,,,,,
7027,3,NaN,0,https://magiceden.io/item-details/FApDZJt8tdz27RQ97WKpYHgkiirp5Qz6VY3MB43aXZLN,,,,,,,,,,,,,,,,
7048,4,789,83.33,https://magiceden.io/item-details/D9brH5mwW8enqmZMryrkXLPpeVmHYpu2ygLJw1shzqAM,,Blue Sparkles Aura,,#ffaf2e,,02,01,22,Blue Flip Flops,red,34,,Red Baggy Pants,01,catfolk,02
7119,3.1,9615,56.86,https://magiceden.io/item-details/CPfqQfetFZHcE1psmsTXMvXJhHENS4okc6Cc4XuncJjt,,Octopus Game B Aura,,#ff99ef,,02,19,21,Brown School Shoes,red,36,,Brown Pants,01,elf,
7153,4,NaN,0,https://magiceden.io/item-details/6dDWRWaBQdv7LxnXXDJvvPxJQ8AdemUjWLsMiNGFN8Cm,,,,,,,,,,,,,,,,
7227,3.3,9198,56.54,https://magiceden.io/item-details/H9WUBfFfPEHGWQcesYaEBCa9jiVKBeQ7rJMqcrJ3Q7LT,,Scooter Aura,,#ffd864,,03,14,32,Beige Slippers,red,36,,Green Plaid Pleated Skirt,03,elf,
7279,3.5,4186,74.68,https://magiceden.io/item-details/2TBPQe4Uhc3KDn9nSU8qYCUy995PsZRMNdi1uEV2Zo1y,,Lucky Rainbow Aura,,#ff8599,,03,07,17,Red Flip Flops,brown,28,,Long Red Skirt,04,lizard,02
7305,3,3225,83.54,https://magiceden.io/item-details/9sVNAxdWNixUioMEzGSjnY4s1nYLRV6uWe2HY3FZdtCa,,Party C Aura,,#87fff3,,03,03,24,Red-Soled Heels,black,33,,Black Pants,01,catfolk,01
7312,3.8,7234,59.43,https://magiceden.io/item-details/6ggYjFmf3PaLjtFMFTugYGgvPvpLuZD7GWwJjLj2jHQU,,Green Disco Aura,,#215ae8,,01,13,03,Green Sneakers,brown,37,,Khaki Cargo Shorts,02,human,
